Sample in Buffer	Sample in Window	adc_ch0
32833	32833	-856	
32834	32834	10498	
32835	32835	19722	
32836	32836	24504	
32837	32837	24045	
32838	32838	18135	
32839	32839	8212	
32840	32840	-3780	
32841	32841	-14689	
32842	32842	-22397	
32843	32843	-24998	
32844	32844	-22114	
32845	32845	-14503	
32846	32846	-3599	
32847	32847	7881	
32848	32848	17664	
32849	32849	23781	
32850	32850	24693	
32851	32851	20086	
32852	32852	10959	
32853	32853	-743	
32854	32854	-12226	
32855	32855	-20943	
32856	32856	-24870	
32857	32857	-23335	
32858	32858	-16745	
32859	32859	-6581	
32860	32860	5007	
32861	32861	15507	
32862	32862	22740	
32863	32863	24985	
32864	32864	21691	
32865	32865	13504	
32866	32866	2400	
32867	32867	-9428	
32868	32868	-19136	
32869	32869	-24384	
32870	32870	-24252	
32871	32871	-18770	
32872	32872	-9248	
32873	32873	2123	
32874	32874	13017	
32875	32875	21319	
32876	32876	24934	
32877	32877	23032	
32878	32878	16101	
32879	32879	5232	
32880	32880	-6847	
32881	32881	-17011	
32882	32882	-23517	
32883	32883	-24807	
32884	32884	-20524	
32885	32885	-11783	
32886	32886	-603	
32887	32887	10539	
32888	32888	19563	
32889	32889	24506	
32890	32890	24099	
32891	32891	18310	
32892	32892	8177	
32893	32893	-3845	
32894	32894	-14609	
32895	32895	-22087	
32896	32896	-25014	
32897	32897	-21923	
32898	32898	-14080	
32899	32899	-3694	
32900	32900	7807	
32901	32901	17969	
32902	32902	23912	
32903	32903	24678	
32904	32904	20301	
32905	32905	11101	
32906	32906	-1079	
32907	32907	-12248	
32908	32908	-20817	
32909	32909	-24849	
32910	32910	-23267	
32911	32911	-16577	
32912	32912	-6677	
32913	32913	4681	
32914	32914	15352	
32915	32915	22710	
32916	32916	24993	
32917	32917	21812	
32918	32918	13499	
32919	32919	1958	
32920	32920	-9789	
32921	32921	-19270	
32922	32922	-24410	
32923	32923	-24187	
32924	32924	-18856	
32925	32925	-9523	
32926	32926	2040	
32927	32927	13120	
32928	32928	21363	
32929	32929	24929	
32930	32930	23105	
32931	32931	16124	
32932	32932	5258	
32933	32933	-6696	
32934	32934	-17016	
32935	32935	-23495	
32936	32936	-24779	
32937	32937	-20552	
32938	32938	-11916	
32939	32939	-841	
32940	32940	10470	
32941	32941	19675	
32942	32942	24536	
32943	32943	24039	
32944	32944	18174	
32945	32945	8166	
32946	32946	-3761	
32947	32947	-14618	
32948	32948	-22335	
32949	32949	-25007	
32950	32950	-22138	
32951	32951	-14489	
32952	32952	-3805	
32953	32953	7920	
32954	32954	17762	
32955	32955	23825	
32956	32956	24706	
32957	32957	20049	
32958	32958	10758	
32959	32959	-810	
32960	32960	-12150	
32961	32961	-20866	
32962	32962	-24869	
32963	32963	-23352	
32964	32964	-16767	
32965	32965	-6582	
32966	32966	4977	
32967	32967	15380	
32968	32968	22703	
32969	32969	24990	
32970	32970	21744	
32971	32971	13602	
32972	32972	2248	
32973	32973	-9511	
32974	32974	-19161	
32975	32975	-24415	
32976	32976	-24191	
32977	32977	-18782	
32978	32978	-9268	
32979	32979	1955	
32980	32980	13008	
32981	32981	21327	
32982	32982	24932	
32983	32983	23033	
32984	32984	15929	
32985	32985	5178	
32986	32986	-6645	
32987	32987	-17004	
32988	32988	-23508	
32989	32989	-24815	
32990	32990	-20646	
32991	32991	-12011	
32992	32992	-687	
32993	32993	10480	
32994	32994	19635	
32995	32995	24537	
32996	32996	24024	
32997	32997	18091	
32998	32998	8188	
32999	32999	-3711	
33000	33000	-14640	
33001	33001	-22368	
33002	33002	-25006	
33003	33003	-22137	
33004	33004	-14533	
33005	33005	-3750	
33006	33006	7805	
33007	33007	17695	
33008	33008	23762	
33009	33009	24681	
33010	33010	20106	
33011	33011	10996	
33012	33012	-753	
33013	33013	-12258	
33014	33014	-20934	
33015	33015	-24865	
33016	33016	-23375	
33017	33017	-16685	
33018	33018	-6597	
33019	33019	4877	
33020	33020	15467	
33021	33021	22688	
33022	33022	24982	
33023	33023	21751	
33024	33024	13517	
33025	33025	2248	
33026	33026	-9589	
33027	33027	-19071	
33028	33028	-24354	
33029	33029	-24237	
33030	33030	-18885	
33031	33031	-9305	
33032	33032	2126	
33033	33033	13109	
33034	33034	21356	
33035	33035	24920	
33036	33036	23085	
33037	33037	16039	
33038	33038	5313	
33039	33039	-6648	
33040	33040	-16936	
33041	33041	-23543	
33042	33042	-24799	
33043	33043	-20689	
33044	33044	-12046	
33045	33045	-814	
33046	33046	10522	
33047	33047	19641	
33048	33048	24535	
33049	33049	24014	
33050	33050	18102	
33051	33051	8054	
33052	33052	-3851	
33053	33053	-14750	
33054	33054	-22298	
33055	33055	-25016	
33056	33056	-22132	
33057	33057	-14582	
33058	33058	-3838	
33059	33059	7751	
33060	33060	17662	
33061	33061	23774	
33062	33062	24686	
33063	33063	20031	
33064	33064	10897	
33065	33065	-735	
33066	33066	-12187	
33067	33067	-20857	
33068	33068	-24868	
33069	33069	-23380	
33070	33070	-16750	
33071	33071	-6705	
33072	33072	4975	
33073	33073	15456	
33074	33074	22695	
33075	33075	24986	
33076	33076	21734	
33077	33077	13564	
33078	33078	2320	
33079	33079	-9403	
33080	33080	-19035	
33081	33081	-24370	
33082	33082	-24273	
33083	33083	-18831	
33084	33084	-9375	
33085	33085	2144	
33086	33086	13144	
33087	33087	21319	
33088	33088	24934	
33089	33089	23017	
33090	33090	15962	
33091	33091	5357	
33092	33092	-6641	
33093	33093	-16993	
33094	33094	-23532	
33095	33095	-24808	
33096	33096	-20727	
33097	33097	-12059	
33098	33098	-906	
33099	33099	10482	
33100	33100	19588	
33101	33101	24514	
33102	33102	24039	
33103	33103	18181	
33104	33104	8208	
33105	33105	-3639	
33106	33106	-14665	
33107	33107	-22383	
33108	33108	-25009	
33109	33109	-22171	
33110	33110	-14526	
33111	33111	-3749	
33112	33112	7863	
33113	33113	17643	
33114	33114	23805	
33115	33115	24701	
33116	33116	20100	
33117	33117	11020	
33118	33118	-666	
33119	33119	-12117	
33120	33120	-20878	
33121	33121	-24848	
33122	33122	-23352	
33123	33123	-16759	
33124	33124	-6543	
33125	33125	5041	
33126	33126	15435	
33127	33127	22691	
33128	33128	24975	
33129	33129	21741	
33130	33130	13548	
33131	33131	2307	
33132	33132	-9558	
33133	33133	-19073	
33134	33134	-24342	
33135	33135	-24256	
33136	33136	-18893	
33137	33137	-9396	
33138	33138	2019	
33139	33139	13027	
33140	33140	21316	
33141	33141	24921	
33142	33142	23034	
33143	33143	16063	
33144	33144	5314	
33145	33145	-6670	
33146	33146	-16981	
33147	33147	-23545	
33148	33148	-24797	
33149	33149	-20597	
33150	33150	-12109	
33151	33151	-732	
33152	33152	10547	
33153	33153	19661	
33154	33154	24530	
33155	33155	24054	
33156	33156	18218	
33157	33157	8142	
33158	33158	-3657	
33159	33159	-14646	
33160	33160	-22396	
33161	33161	-25001	
33162	33162	-22119	
33163	33163	-14529	
33164	33164	-3762	
33165	33165	7782	
33166	33166	17635	
33167	33167	23786	
33168	33168	24691	
33169	33169	20134	
33170	33170	10955	
33171	33171	-718	
33172	33172	-12162	
33173	33173	-20862	
33174	33174	-24855	
33175	33175	-23339	
33176	33176	-16702	
33177	33177	-6597	
33178	33178	4993	
33179	33179	15455	
33180	33180	22645	
33181	33181	24983	
33182	33182	21766	
33183	33183	13574	
33184	33184	2332	
33185	33185	-9422	
33186	33186	-19149	
33187	33187	-24347	
33188	33188	-24241	
33189	33189	-18945	
33190	33190	-9328	
33191	33191	2057	
33192	33192	13111	
33193	33193	21323	
33194	33194	24928	
33195	33195	23023	
33196	33196	15983	
33197	33197	5281	
33198	33198	-6640	
33199	33199	-16951	
33200	33200	-23523	
33201	33201	-24798	
33202	33202	-20659	
33203	33203	-12010	
33204	33204	-957	
33205	33205	10446	
33206	33206	19549	
33207	33207	24486	
33208	33208	24045	
33209	33209	18143	
33210	33210	8200	
33211	33211	-3759	
33212	33212	-14740	
33213	33213	-22374	
33214	33214	-25000	
33215	33215	-22171	
33216	33216	-14579	
33217	33217	-3676	
33218	33218	7840	
33219	33219	17576	
33220	33220	23778	
33221	33221	24684	
33222	33222	20106	
33223	33223	10997	
33224	33224	-697	
33225	33225	-12189	
33226	33226	-20797	
33227	33227	-24852	
33228	33228	-23362	
33229	33229	-16801	
33230	33230	-6612	
33231	33231	5001	
33232	33232	15485	
33233	33233	22698	
33234	33234	24974	
33235	33235	21682	
33236	33236	13626	
33237	33237	2299	
33238	33238	-9551	
33239	33239	-19016	
33240	33240	-24369	
33241	33241	-24241	
33242	33242	-18948	
33243	33243	-9421	
33244	33244	1949	
33245	33245	13088	
33246	33246	21308	
33247	33247	24922	
33248	33248	23030	
33249	33249	16040	
33250	33250	5261	
33251	33251	-6613	
33252	33252	-17022	
33253	33253	-23491	
33254	33254	-24811	
33255	33255	-20616	
33256	33256	-12075	
33257	33257	-736	
33258	33258	10483	
33259	33259	19651	
33260	33260	24510	
33261	33261	24045	
33262	33262	18218	
33263	33263	8214	
33264	33264	-3709	
33265	33265	-14672	
33266	33266	-22291	
33267	33267	-24994	
33268	33268	-22200	
33269	33269	-14524	
33270	33270	-3842	
33271	33271	7809	
33272	33272	17672	
33273	33273	23754	
33274	33274	24678	
33275	33275	20063	
33276	33276	10972	
33277	33277	-723	
33278	33278	-12038	
33279	33279	-20871	
33280	33280	-24852	
33281	33281	-23380	
33282	33282	-16807	
33283	33283	-6617	
33284	33284	5018	
33285	33285	15406	
33286	33286	22650	
33287	33287	24992	
33288	33288	21857	
33289	33289	13545	
33290	33290	2252	
33291	33291	-9520	
33292	33292	-19003	
33293	33293	-24356	
33294	33294	-24264	
33295	33295	-18850	
33296	33296	-9351	
33297	33297	2073	
33298	33298	13054	
33299	33299	21293	
33300	33300	24927	
33301	33301	23086	
33302	33302	16036	
33303	33303	5355	
33304	33304	-6600	
33305	33305	-16983	
33306	33306	-23510	
33307	33307	-24818	
33308	33308	-20637	
33309	33309	-12054	
33310	33310	-921	
33311	33311	10472	
33312	33312	19624	
33313	33313	24504	
33314	33314	24040	
33315	33315	18255	
33316	33316	8185	
33317	33317	-3691	
33318	33318	-14774	
33319	33319	-22330	
33320	33320	-25010	
33321	33321	-22157	
33322	33322	-14520	
33323	33323	-3750	
33324	33324	7690	
33325	33325	17642	
33326	33326	23788	
33327	33327	24697	
33328	33328	20136	
33329	33329	11036	
33330	33330	-587	
33331	33331	-12034	
33332	33332	-20872	
33333	33333	-24856	
33334	33334	-23367	
33335	33335	-16769	
33336	33336	-6656	
33337	33337	4934	
33338	33338	15436	
33339	33339	22693	
33340	33340	24984	
33341	33341	21776	
33342	33342	13600	
33343	33343	2294	
33344	33344	-9462	
33345	33345	-19020	
33346	33346	-24353	
33347	33347	-24282	
33348	33348	-18864	
33349	33349	-9557	
33350	33350	1931	
33351	33351	13003	
33352	33352	21341	
33353	33353	24925	
33354	33354	23039	
33355	33355	16051	
33356	33356	5433	
33357	33357	-6678	
33358	33358	-17067	
33359	33359	-23507	
33360	33360	-24796	
33361	33361	-20687	
33362	33362	-11944	
33363	33363	-873	
33364	33364	10441	
33365	33365	19528	
33366	33366	24521	
33367	33367	24080	
33368	33368	18236	
33369	33369	8288	
33370	33370	-3675	
33371	33371	-14646	
33372	33372	-22386	
33373	33373	-25014	
33374	33374	-22157	
33375	33375	-14533	
33376	33376	-3796	
33377	33377	7729	
33378	33378	17606	
33379	33379	23794	
33380	33380	24718	
33381	33381	20086	
33382	33382	11048	
33383	33383	-714	
33384	33384	-12175	
33385	33385	-20852	
33386	33386	-24851	
33387	33387	-23415	
33388	33388	-16780	
33389	33389	-6667	
33390	33390	4968	
33391	33391	15390	
33392	33392	22719	
33393	33393	24983	
33394	33394	21743	
33395	33395	13514	
33396	33396	2331	
33397	33397	-9358	
33398	33398	-19056	
33399	33399	-24353	
33400	33400	-24247	
33401	33401	-18854	
33402	33402	-9451	
33403	33403	1989	
33404	33404	12972	
33405	33405	21248	
33406	33406	24932	
33407	33407	23055	
33408	33408	15932	
33409	33409	5376	
33410	33410	-6565	
33411	33411	-16933	
33412	33412	-23445	
33413	33413	-24805	
33414	33414	-20689	
33415	33415	-12081	
33416	33416	-898	
33417	33417	10515	
33418	33418	19558	
33419	33419	24517	
33420	33420	24051	
33421	33421	18186	
33422	33422	8210	
33423	33423	-3658	
33424	33424	-14589	
33425	33425	-22360	
33426	33426	-25003	
33427	33427	-22171	
33428	33428	-14589	
33429	33429	-3771	
33430	33430	7746	
33431	33431	17613	
33432	33432	23764	
33433	33433	24710	
33434	33434	20069	
33435	33435	11000	
33436	33436	-530	
33437	33437	-12175	
33438	33438	-20883	
33439	33439	-24859	
33440	33440	-23325	
33441	33441	-16932	
33442	33442	-6772	
33443	33443	4884	
33444	33444	15432	
33445	33445	22720	
33446	33446	24988	
33447	33447	21753	
33448	33448	13584	
33449	33449	2384	
33450	33450	-9392	
33451	33451	-18967	
33452	33452	-24343	
33453	33453	-24267	
33454	33454	-18915	
33455	33455	-9503	
33456	33456	2026	
33457	33457	13005	
33458	33458	21253	
33459	33459	24919	
33460	33460	23092	
33461	33461	16055	
33462	33462	5359	
33463	33463	-6631	
33464	33464	-16950	
33465	33465	-23496	
33466	33466	-24794	
33467	33467	-20689	
33468	33468	-12040	
33469	33469	-856	
33470	33470	10416	
33471	33471	19558	
33472	33472	24503	
33473	33473	24046	
33474	33474	18252	
33475	33475	8299	
33476	33476	-3628	
33477	33477	-14551	
33478	33478	-22303	
33479	33479	-25003	
33480	33480	-22176	
33481	33481	-14554	
33482	33482	-3851	
33483	33483	7711	
33484	33484	17595	
33485	33485	23760	
33486	33486	24704	
33487	33487	20130	
33488	33488	11072	
33489	33489	-622	
33490	33490	-12135	
33491	33491	-20791	
33492	33492	-24846	
33493	33493	-23376	
33494	33494	-16833	
33495	33495	-6670	
33496	33496	4927	
33497	33497	15423	
33498	33498	22667	
33499	33499	24985	
33500	33500	21812	
33501	33501	13653	
33502	33502	2402	
33503	33503	-9338	
33504	33504	-19025	
33505	33505	-24380	
33506	33506	-24257	
33507	33507	-18839	
33508	33508	-9416	
33509	33509	1980	
33510	33510	13104	
33511	33511	21242	
33512	33512	24916	
33513	33513	23079	
33514	33514	16101	
33515	33515	5253	
33516	33516	-6532	
33517	33517	-17000	
33518	33518	-23490	
33519	33519	-24811	
33520	33520	-20652	
33521	33521	-12092	
33522	33522	-957	
33523	33523	10409	
33524	33524	19570	
33525	33525	24499	
33526	33526	24054	
33527	33527	18209	
33528	33528	8198	
33529	33529	-3600	
33530	33530	-14645	
33531	33531	-22346	
33532	33532	-25002	
33533	33533	-22165	
33534	33534	-14487	
33535	33535	-3796	
33536	33536	7632	
33537	33537	17540	
33538	33538	23751	
33539	33539	24707	
33540	33540	20131	
33541	33541	10996	
33542	33542	-565	
33543	33543	-12082	
33544	33544	-20864	
33545	33545	-24848	
33546	33546	-23385	
33547	33547	-16785	
33548	33548	-6733	
33549	33549	4976	
33550	33550	15453	
33551	33551	22663	
33552	33552	24987	
33553	33553	21763	
33554	33554	13659	
33555	33555	2414	
33556	33556	-9426	
33557	33557	-18980	
33558	33558	-24322	
33559	33559	-24266	
33560	33560	-18932	
33561	33561	-9433	
33562	33562	1935	
33563	33563	12971	
33564	33564	21271	
33565	33565	24922	
33566	33566	23091	
33567	33567	15971	
33568	33568	5397	
33569	33569	-6546	
33570	33570	-16939	
33571	33571	-23471	
33572	33572	-24807	
33573	33573	-20718	
33574	33574	-12196	
33575	33575	-956	
33576	33576	10426	
33577	33577	19590	
33578	33578	24510	
33579	33579	24082	
33580	33580	18216	
33581	33581	8212	
33582	33582	-3539	
33583	33583	-14634	
33584	33584	-22342	
33585	33585	-25002	
33586	33586	-22258	
33587	33587	-14631	
33588	33588	-3871	
33589	33589	7684	
33590	33590	17689	
33591	33591	23768	
33592	33592	24649	
33593	33593	19932	
33594	33594	11044	
33595	33595	-266	
33596	33596	-11904	
33597	33597	-20810	
33598	33598	-24842	
33599	33599	-23369	
33600	33600	-16811	
33601	33601	-6739	
33602	33602	4852	
33603	33603	15407	
33604	33604	22697	
33605	33605	24985	
33606	33606	21734	
33607	33607	13674	
33608	33608	2337	
33609	33609	-9409	
33610	33610	-18943	
33611	33611	-24323	
33612	33612	-24277	
33613	33613	-18900	
33614	33614	-9392	
33615	33615	2011	
33616	33616	13070	
33617	33617	21278	
33618	33618	24931	
33619	33619	23088	
33620	33620	16027	
33621	33621	5406	
33622	33622	-6613	
33623	33623	-16961	
33624	33624	-23486	
33625	33625	-24809	
33626	33626	-20695	
33627	33627	-12120	
33628	33628	-941	
33629	33629	10483	
33630	33630	19577	
33631	33631	24492	
33632	33632	24055	
33633	33633	18313	
33634	33634	8246	
33635	33635	-3553	
33636	33636	-14705	
33637	33637	-22323	
33638	33638	-25002	
33639	33639	-22157	
33640	33640	-14494	
33641	33641	-3743	
33642	33642	7791	
33643	33643	17626	
33644	33644	23751	
33645	33645	24718	
33646	33646	20204	
33647	33647	11028	
33648	33648	-587	
33649	33649	-12139	
33650	33650	-20774	
33651	33651	-24840	
33652	33652	-23386	
33653	33653	-16869	
33654	33654	-6743	
33655	33655	4979	
33656	33656	15337	
33657	33657	22646	
33658	33658	24982	
33659	33659	21849	
33660	33660	13662	
33661	33661	2351	
33662	33662	-9330	
33663	33663	-18955	
33664	33664	-24350	
33665	33665	-24260	
33666	33666	-18892	
33667	33667	-9475	
33668	33668	1947	
33669	33669	13021	
33670	33670	21240	
33671	33671	24913	
33672	33672	23123	
33673	33673	16147	
33674	33674	5425	
33675	33675	-6508	
33676	33676	-16973	
33677	33677	-23483	
33678	33678	-24811	
33679	33679	-20708	
33680	33680	-12066	
33681	33681	-873	
33682	33682	10466	
33683	33683	19484	
33684	33684	24485	
33685	33685	24127	
33686	33686	18315	
33687	33687	8337	
33688	33688	-3686	
33689	33689	-14566	
33690	33690	-22287	
33691	33691	-24998	
33692	33692	-22171	
33693	33693	-14573	
33694	33694	-3823	
33695	33695	7708	
33696	33696	17647	
33697	33697	23748	
33698	33698	24685	
33699	33699	20100	
33700	33700	11009	
33701	33701	-643	
33702	33702	-12042	
33703	33703	-20771	
33704	33704	-24849	
33705	33705	-23412	
33706	33706	-16943	
33707	33707	-6669	
33708	33708	4770	
33709	33709	15391	
33710	33710	22647	
33711	33711	24985	
33712	33712	21784	
33713	33713	13702	
33714	33714	2432	
33715	33715	-9466	
33716	33716	-19040	
33717	33717	-24369	
33718	33718	-24257	
33719	33719	-18856	
33720	33720	-9424	
33721	33721	1991	
33722	33722	13005	
33723	33723	21252	
33724	33724	24921	
33725	33725	23078	
33726	33726	16045	
33727	33727	5393	
33728	33728	-6435	
33729	33729	-16947	
33730	33730	-23468	
33731	33731	-24817	
33732	33732	-20745	
33733	33733	-12133	
33734	33734	-1054	
33735	33735	10424	
33736	33736	19486	
33737	33737	24499	
33738	33738	24066	
33739	33739	18158	
33740	33740	8232	
33741	33741	-3622	
33742	33742	-14654	
33743	33743	-22354	
33744	33744	-25006	
33745	33745	-22199	
33746	33746	-14657	
33747	33747	-3729	
33748	33748	7851	
33749	33749	17571	
33750	33750	23794	
33751	33751	24725	
33752	33752	20238	
33753	33753	11178	
33754	33754	-526	
33755	33755	-12078	
33756	33756	-20831	
33757	33757	-24842	
33758	33758	-23415	
33759	33759	-16875	
33760	33760	-6771	
33761	33761	4849	
33762	33762	15425	
33763	33763	22719	
33764	33764	24988	
33765	33765	21796	
33766	33766	13648	
33767	33767	2367	
33768	33768	-9467	
33769	33769	-18989	
33770	33770	-24344	
33771	33771	-24282	
33772	33772	-18947	
33773	33773	-9514	
33774	33774	1955	
33775	33775	12950	
33776	33776	21237	
33777	33777	24893	
33778	33778	23084	
33779	33779	16114	
33780	33780	5350	
33781	33781	-6517	
33782	33782	-16901	
33783	33783	-23424	
33784	33784	-24818	
33785	33785	-20673	
33786	33786	-12121	
33787	33787	-927	
33788	33788	10492	
33789	33789	19532	
33790	33790	24503	
33791	33791	24060	
33792	33792	18276	
33793	33793	8200	
33794	33794	-3483	
33795	33795	-14636	
33796	33796	-22287	
33797	33797	-25000	
33798	33798	-22221	
33799	33799	-14658	
33800	33800	-3903	
33801	33801	7652	
33802	33802	17573	
33803	33803	23720	
33804	33804	24695	
33805	33805	20176	
33806	33806	11108	
33807	33807	-604	
33808	33808	-12068	
33809	33809	-20787	
33810	33810	-24850	
33811	33811	-23376	
33812	33812	-16816	
33813	33813	-6738	
33814	33814	4826	
33815	33815	15370	
33816	33816	22658	
33817	33817	24985	
33818	33818	21854	
33819	33819	13669	
33820	33820	2489	
33821	33821	-9331	
33822	33822	-18990	
33823	33823	-24342	
33824	33824	-24269	
33825	33825	-18939	
33826	33826	-9485	
33827	33827	2035	
33828	33828	12990	
33829	33829	21230	
33830	33830	24927	
33831	33831	23066	
33832	33832	16067	
33833	33833	5454	
33834	33834	-6441	
33835	33835	-16849	
33836	33836	-23488	
33837	33837	-24804	
33838	33838	-20713	
33839	33839	-12172	
33840	33840	-1037	
33841	33841	10356	
33842	33842	19542	
33843	33843	24487	
33844	33844	24074	
33845	33845	18276	
33846	33846	8335	
33847	33847	-3552	
33848	33848	-14563	
33849	33849	-22293	
33850	33850	-25006	
33851	33851	-22220	
33852	33852	-14632	
33853	33853	-3921	
33854	33854	7681	
33855	33855	17535	
33856	33856	23756	
33857	33857	24693	
33858	33858	20151	
33859	33859	11014	
33860	33860	-563	
33861	33861	-12094	
33862	33862	-20853	
33863	33863	-24848	
33864	33864	-23383	
33865	33865	-16892	
33866	33866	-6729	
33867	33867	4834	
33868	33868	15329	
33869	33869	22655	
33870	33870	24989	
33871	33871	21768	
33872	33872	13703	
33873	33873	2346	
33874	33874	-9322	
33875	33875	-19004	
33876	33876	-24344	
33877	33877	-24297	
33878	33878	-18958	
33879	33879	-9446	
33880	33880	1933	
33881	33881	13017	
33882	33882	21211	
33883	33883	24933	
33884	33884	23098	
33885	33885	16083	
33886	33886	5464	
33887	33887	-6466	
33888	33888	-16853	
33889	33889	-23520	
33890	33890	-24799	
33891	33891	-20743	
33892	33892	-12221	
33893	33893	-1041	
33894	33894	10326	
33895	33895	19520	
33896	33896	24485	
33897	33897	24077	
33898	33898	18181	
33899	33899	8272	
33900	33900	-3862	
33901	33901	-14582	
33902	33902	-22256	
33903	33903	-25000	
33904	33904	-22287	
33905	33905	-14700	
33906	33906	-3815	
33907	33907	7774	
33908	33908	17701	
33909	33909	23728	
33910	33910	24706	
33911	33911	20198	
33912	33912	11078	
33913	33913	-576	
33914	33914	-12004	
33915	33915	-20779	
33916	33916	-24845	
33917	33917	-23449	
33918	33918	-16887	
33919	33919	-6756	
33920	33920	4861	
33921	33921	15330	
33922	33922	22668	
33923	33923	24985	
33924	33924	21803	
33925	33925	13696	
33926	33926	2454	
33927	33927	-9258	
33928	33928	-18940	
33929	33929	-24326	
33930	33930	-24291	
33931	33931	-18973	
33932	33932	-9423	
33933	33933	1918	
33934	33934	13038	
33935	33935	21255	
33936	33936	24908	
33937	33937	23122	
33938	33938	16110	
33939	33939	5411	
33940	33940	-6426	
33941	33941	-16801	
33942	33942	-23471	
33943	33943	-24816	
33944	33944	-20745	
33945	33945	-12233	
33946	33946	-1021	
33947	33947	10433	
33948	33948	19589	
33949	33949	24482	
33950	33950	24055	
33951	33951	18242	
33952	33952	8332	
33953	33953	-3582	
33954	33954	-14559	
33955	33955	-22297	
33956	33956	-25000	
33957	33957	-22201	
33958	33958	-14600	
33959	33959	-3827	
33960	33960	7570	
33961	33961	17554	
33962	33962	23716	
33963	33963	24704	
33964	33964	20185	
33965	33965	11058	
33966	33966	-620	
33967	33967	-11975	
33968	33968	-20766	
33969	33969	-24831	
33970	33970	-23392	
33971	33971	-16832	
33972	33972	-6739	
33973	33973	4827	
33974	33974	15353	
33975	33975	22661	
33976	33976	24980	
33977	33977	21823	
33978	33978	13698	
33979	33979	2701	
33980	33980	-9365	
33981	33981	-19037	
33982	33982	-24322	
33983	33983	-24256	
33984	33984	-18941	
33985	33985	-9452	
33986	33986	1989	
33987	33987	12983	
33988	33988	21215	
33989	33989	24921	
33990	33990	23129	
33991	33991	16105	
33992	33992	5438	
33993	33993	-6464	
33994	33994	-16894	
33995	33995	-23456	
33996	33996	-24816	
33997	33997	-20696	
33998	33998	-12085	
33999	33999	-1015	
34000	34000	10342	
34001	34001	19529	
34002	34002	24471	
34003	34003	24093	
34004	34004	18207	
34005	34005	8237	
34006	34006	-3536	
34007	34007	-14562	
34008	34008	-22266	
34009	34009	-24998	
34010	34010	-22200	
34011	34011	-14560	
34012	34012	-3886	
34013	34013	7604	
34014	34014	17512	
34015	34015	23722	
34016	34016	24704	
34017	34017	20197	
34018	34018	11099	
34019	34019	-498	
34020	34020	-12135	
34021	34021	-20640	
34022	34022	-24838	
34023	34023	-23402	
34024	34024	-16773	
34025	34025	-6793	
34026	34026	4824	
34027	34027	15324	
34028	34028	22651	
34029	34029	24988	
34030	34030	21811	
34031	34031	13737	
34032	34032	2477	
34033	34033	-9400	
34034	34034	-18989	
34035	34035	-24329	
34036	34036	-24291	
34037	34037	-18973	
34038	34038	-9597	
34039	34039	1929	
34040	34040	12947	
34041	34041	21223	
34042	34042	24907	
34043	34043	23150	
34044	34044	16100	
34045	34045	5469	
34046	34046	-6517	
34047	34047	-16864	
34048	34048	-23484	
34049	34049	-24818	
34050	34050	-20693	
34051	34051	-12222	
34052	34052	-1093	
34053	34053	10276	
34054	34054	19520	
34055	34055	24485	
34056	34056	24046	
34057	34057	18170	
34058	34058	8382	
34059	34059	-3525	
34060	34060	-14482	
34061	34061	-22300	
34062	34062	-25008	
34063	34063	-22244	
34064	34064	-14657	
34065	34065	-3972	
34066	34066	7653	
34067	34067	17587	
34068	34068	23705	
34069	34069	24712	
34070	34070	20214	
34071	34071	11087	
34072	34072	-593	
34073	34073	-12033	
34074	34074	-20748	
34075	34075	-24849	
34076	34076	-23410	
34077	34077	-16937	
34078	34078	-6745	
34079	34079	4762	
34080	34080	15330	
34081	34081	22648	
34082	34082	24976	
34083	34083	21828	
34084	34084	13748	
34085	34085	2531	
34086	34086	-9332	
34087	34087	-18958	
34088	34088	-24298	
34089	34089	-24295	
34090	34090	-18957	
34091	34091	-9478	
34092	34092	1930	
34093	34093	12955	
34094	34094	21222	
34095	34095	24910	
34096	34096	23096	
34097	34097	16214	
34098	34098	5455	
34099	34099	-6406	
34100	34100	-16907	
34101	34101	-23464	
34102	34102	-24829	
34103	34103	-20733	
34104	34104	-12265	
34105	34105	-1054	
34106	34106	10388	
34107	34107	19547	
34108	34108	24500	
34109	34109	24081	
34110	34110	18177	
34111	34111	8462	
34112	34112	-3517	
34113	34113	-14465	
34114	34114	-22296	
34115	34115	-24997	
34116	34116	-22196	
34117	34117	-14617	
34118	34118	-3955	
34119	34119	7630	
34120	34120	17551	
34121	34121	23720	
34122	34122	24718	
34123	34123	20224	
34124	34124	11073	
34125	34125	-430	
34126	34126	-12022	
34127	34127	-20751	
34128	34128	-24841	
34129	34129	-23420	
34130	34130	-16949	
34131	34131	-6721	
34132	34132	4888	
34133	34133	15305	
34134	34134	22595	
34135	34135	24982	
34136	34136	21846	
34137	34137	13768	
34138	34138	2565	
34139	34139	-9297	
34140	34140	-18937	
34141	34141	-24322	
34142	34142	-24283	
34143	34143	-18952	
34144	34144	-9506	
34145	34145	1836	
34146	34146	12950	
34147	34147	21215	
34148	34148	24909	
34149	34149	23148	
34150	34150	16143	
34151	34151	5463	
34152	34152	-6540	
34153	34153	-16852	
34154	34154	-23467	
34155	34155	-24821	
34156	34156	-20711	
34157	34157	-12274	
34158	34158	-1011	
34159	34159	10304	
34160	34160	19532	
34161	34161	24473	
34162	34162	24091	
34163	34163	18294	
34164	34164	8330	
34165	34165	-3541	
34166	34166	-14549	
