Sample in Buffer	Sample in Window	adc_ch0
375	375	18210	
376	376	8176	
377	377	-3649	
378	378	-14636	
379	379	-22349	
380	380	-25001	
381	381	-22137	
382	382	-14486	
383	383	-3727	
384	384	7733	
385	385	17704	
386	386	23763	
387	387	24690	
388	388	20100	
389	389	10900	
390	390	-748	
391	391	-12197	
392	392	-20874	
393	393	-24869	
394	394	-23358	
395	395	-16755	
396	396	-6569	
397	397	4919	
398	398	15466	
399	399	22718	
400	400	24984	
401	401	21713	
402	402	13642	
403	403	2348	
404	404	-9463	
405	405	-19038	
406	406	-24368	
407	407	-24229	
408	408	-18821	
409	409	-9338	
410	410	2118	
411	411	13108	
412	412	21280	
413	413	24927	
414	414	23025	
415	415	15909	
416	416	5241	
417	417	-6610	
418	418	-17016	
419	419	-23539	
420	420	-24803	
421	421	-20656	
422	422	-11965	
423	423	-851	
424	424	10488	
425	425	19545	
426	426	24519	
427	427	24049	
428	428	18086	
429	429	8176	
430	430	-3695	
431	431	-14771	
432	432	-22340	
433	433	-24997	
434	434	-22157	
435	435	-14544	
436	436	-3769	
437	437	7833	
438	438	17720	
439	439	23771	
440	440	24669	
441	441	20068	
442	442	10840	
443	443	-753	
444	444	-12188	
445	445	-20853	
446	446	-24848	
447	447	-23370	
448	448	-16809	
449	449	-6691	
450	450	4794	
451	451	15374	
452	452	22687	
453	453	24978	
454	454	21777	
455	455	13681	
456	456	2275	
457	457	-9468	
458	458	-19165	
459	459	-24347	
460	460	-24252	
461	461	-18838	
462	462	-9440	
463	463	2089	
464	464	13092	
465	465	21291	
466	466	24927	
467	467	23102	
468	468	16011	
469	469	5291	
470	470	-6664	
471	471	-16942	
472	472	-23521	
473	473	-24810	
474	474	-20652	
475	475	-12024	
476	476	-893	
477	477	10551	
478	478	19641	
479	479	24498	
480	480	24061	
481	481	18166	
482	482	8171	
483	483	-3770	
484	484	-14652	
485	485	-22298	
486	486	-25002	
487	487	-22165	
488	488	-14502	
489	489	-3742	
490	490	7772	
491	491	17682	
492	492	23726	
493	493	24702	
494	494	20090	
495	495	10952	
496	496	-650	
497	497	-12115	
498	498	-20800	
499	499	-24847	
500	500	-23393	
501	501	-16792	
502	502	-6594	
503	503	4933	
504	504	15381	
505	505	22764	
506	506	24964	
507	507	21699	
508	508	13735	
509	509	2489	
510	510	-9277	
511	511	-19037	
512	512	-24353	
513	513	-24253	
514	514	-18820	
515	515	-9397	
516	516	2140	
517	517	13058	
518	518	21263	
519	519	24924	
520	520	23072	
521	521	16053	
522	522	5353	
523	523	-6605	
524	524	-16930	
525	525	-23513	
526	526	-24805	
527	527	-20696	
528	528	-12033	
529	529	-885	
530	530	10596	
531	531	19636	
532	532	24488	
533	533	24063	
534	534	18183	
535	535	8251	
536	536	-3559	
537	537	-14757	
538	538	-22360	
539	539	-25010	
540	540	-22183	
541	541	-14526	
542	542	-3775	
543	543	7761	
544	544	17673	
545	545	23742	
546	546	24694	
547	547	20215	
548	548	11072	
549	549	-678	
550	550	-12162	
551	551	-20862	
552	552	-24854	
553	553	-23383	
554	554	-16766	
555	555	-6691	
556	556	4953	
557	557	15419	
558	558	22674	
559	559	24979	
560	560	21766	
561	561	13610	
562	562	2347	
563	563	-9437	
564	564	-19042	
565	565	-24355	
566	566	-24260	
567	567	-18834	
568	568	-9441	
569	569	2006	
570	570	13070	
571	571	21219	
572	572	24920	
573	573	23041	
574	574	16015	
575	575	5402	
576	576	-6555	
577	577	-16955	
578	578	-23509	
579	579	-24800	
580	580	-20640	
581	581	-12042	
582	582	-925	
583	583	10517	
584	584	19584	
585	585	24516	
586	586	24047	
587	587	18220	
588	588	8217	
589	589	-3684	
590	590	-14664	
591	591	-22360	
592	592	-25004	
593	593	-22174	
594	594	-14627	
595	595	-3842	
596	596	7761	
597	597	17606	
598	598	23722	
599	599	24710	
600	600	20072	
601	601	10952	
602	602	-724	
603	603	-12146	
604	604	-20805	
605	605	-24840	
606	606	-23376	
607	607	-16789	
608	608	-6570	
609	609	4897	
610	610	15411	
611	611	22693	
612	612	24983	
613	613	21794	
614	614	13673	
615	615	2291	
616	616	-9492	
617	617	-19047	
618	618	-24335	
619	619	-24269	
620	620	-18918	
621	621	-9463	
622	622	2056	
623	623	13126	
624	624	21249	
625	625	24929	
626	626	23083	
627	627	16017	
628	628	5377	
629	629	-6588	
630	630	-16998	
631	631	-23512	
632	632	-24806	
633	633	-20661	
634	634	-12168	
635	635	-997	
636	636	10427	
637	637	19534	
638	638	24518	
639	639	24031	
640	640	18059	
641	641	8081	
642	642	-3727	
643	643	-14667	
644	644	-22312	
645	645	-24997	
646	646	-22229	
647	647	-14687	
648	648	-3816	
649	649	7746	
650	650	17706	
651	651	23773	
652	652	24684	
653	653	20082	
654	654	10899	
655	655	-684	
656	656	-12110	
657	657	-20805	
658	658	-24868	
659	659	-23436	
660	660	-16833	
661	661	-6827	
662	662	4803	
663	663	15412	
664	664	22762	
665	665	24984	
666	666	21708	
667	667	13617	
668	668	2293	
669	669	-9430	
670	670	-18992	
671	671	-24335	
672	672	-24275	
673	673	-18879	
674	674	-9545	
675	675	2063	
676	676	13067	
677	677	21312	
678	678	24921	
679	679	23054	
680	680	16053	
681	681	5318	
682	682	-6537	
683	683	-16970	
684	684	-23477	
685	685	-24816	
686	686	-20720	
687	687	-11983	
688	688	-862	
689	689	10545	
690	690	19559	
691	691	24531	
692	692	24034	
693	693	18169	
694	694	8306	
695	695	-3558	
696	696	-14695	
697	697	-22287	
698	698	-25007	
699	699	-22182	
700	700	-14563	
701	701	-3797	
702	702	7783	
703	703	17533	
704	704	23795	
705	705	24699	
706	706	20151	
707	707	11020	
708	708	-578	
709	709	-12056	
710	710	-20825	
711	711	-24843	
712	712	-23367	
713	713	-16810	
714	714	-6660	
715	715	4911	
716	716	15423	
717	717	22676	
718	718	24987	
719	719	21802	
720	720	13650	
721	721	2476	
722	722	-9366	
723	723	-19070	
724	724	-24319	
725	725	-24232	
726	726	-18877	
727	727	-9412	
728	728	2020	
729	729	13113	
730	730	21257	
731	731	24917	
732	732	23109	
733	733	16015	
734	734	5266	
735	735	-6534	
736	736	-16912	
737	737	-23472	
738	738	-24799	
739	739	-20683	
740	740	-12020	
741	741	-878	
742	742	10482	
743	743	19567	
744	744	24505	
745	745	24077	
746	746	18256	
747	747	8208	
748	748	-3619	
749	749	-14665	
750	750	-22341	
751	751	-25002	
752	752	-22192	
753	753	-14686	
754	754	-3852	
755	755	7739	
756	756	17676	
757	757	23731	
758	758	24694	
759	759	20147	
760	760	10980	
761	761	-587	
762	762	-12168	
763	763	-20820	
764	764	-24857	
765	765	-23413	
766	766	-16839	
767	767	-6710	
768	768	4954	
769	769	15367	
770	770	22655	
771	771	24986	
772	772	21781	
773	773	13577	
774	774	2294	
775	775	-9474	
776	776	-18962	
777	777	-24348	
778	778	-24261	
779	779	-18915	
780	780	-9449	
781	781	1978	
782	782	13111	
783	783	21291	
784	784	24913	
785	785	23089	
786	786	16168	
787	787	5350	
788	788	-6589	
789	789	-16950	
790	790	-23501	
791	791	-24822	
792	792	-20736	
793	793	-12121	
794	794	-950	
795	795	10516	
796	796	19584	
797	797	24501	
798	798	24038	
799	799	18263	
800	800	8305	
801	801	-3649	
802	802	-14577	
803	803	-22283	
804	804	-25004	
805	805	-22208	
806	806	-14557	
807	807	-3830	
808	808	7706	
809	809	17571	
810	810	23786	
811	811	24690	
812	812	20265	
813	813	11085	
814	814	-749	
815	815	-12229	
816	816	-20803	
817	817	-24831	
818	818	-23440	
819	819	-16783	
820	820	-6739	
821	821	4773	
822	822	15355	
823	823	22678	
824	824	24987	
825	825	21746	
826	826	13659	
827	827	2434	
828	828	-9320	
829	829	-19003	
830	830	-24350	
831	831	-24258	
832	832	-18887	
833	833	-9460	
834	834	1946	
835	835	13091	
836	836	21239	
837	837	24921	
838	838	23060	
839	839	16088	
840	840	5285	
841	841	-6585	
842	842	-16858	
843	843	-23419	
844	844	-24822	
845	845	-20601	
846	846	-12051	
847	847	-1006	
848	848	10527	
849	849	19564	
850	850	24499	
851	851	24077	
852	852	18296	
853	853	8311	
854	854	-3698	
855	855	-14544	
856	856	-22317	
857	857	-24995	
858	858	-22222	
859	859	-14562	
860	860	-3781	
861	861	7707	
862	862	17686	
863	863	23732	
864	864	24706	
865	865	20181	
866	866	10985	
867	867	-617	
868	868	-12121	
869	869	-20779	
870	870	-24860	
871	871	-23391	
872	872	-16784	
873	873	-6730	
874	874	4886	
875	875	15439	
876	876	22652	
877	877	24986	
878	878	21818	
879	879	13630	
880	880	2443	
881	881	-9338	
882	882	-18972	
883	883	-24342	
884	884	-24262	
885	885	-18857	
886	886	-9519	
887	887	2037	
888	888	13030	
889	889	21213	
890	890	24922	
891	891	23131	
892	892	16080	
893	893	5404	
894	894	-6599	
895	895	-16935	
896	896	-23508	
897	897	-24819	
898	898	-20682	
899	899	-12191	
900	900	-819	
901	901	10348	
902	902	19539	
903	903	24503	
904	904	24079	
905	905	18259	
906	906	8255	
907	907	-3577	
908	908	-14654	
909	909	-22349	
910	910	-25000	
911	911	-22232	
912	912	-14628	
913	913	-3807	
914	914	7667	
915	915	17516	
916	916	23768	
917	917	24717	
918	918	20117	
919	919	11126	
920	920	-597	
921	921	-12148	
922	922	-20829	
923	923	-24858	
924	924	-23430	
925	925	-16827	
926	926	-6679	
927	927	4829	
928	928	15391	
929	929	22674	
930	930	24989	
931	931	21797	
932	932	13701	
933	933	2439	
934	934	-9465	
935	935	-19028	
936	936	-24346	
937	937	-24285	
938	938	-18956	
939	939	-9483	
940	940	1945	
941	941	12963	
942	942	21277	
943	943	24924	
944	944	23105	
